# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.3807,-4.6927,0.7544,0.7544
-0.3807,-4.7886,0.7544,0.7544
-0.3807,-4.8844,0.7544,0.7544
-0.3807,-4.9803,0.7544,0.7544
-0.4765,-5.0761,0.7007,0.7007
-0.4765,-5.1720,0.7323,0.7323
-0.4765,-5.2678,0.7544,0.7544
-0.4765,-5.3637,0.7544,0.7544
-0.4765,-5.4595,0.7544,0.7544
-0.4765,-5.5554,0.7544,0.7544
-0.4765,-5.6512,0.7544,0.7544
-0.4765,-5.7471,0.7544,0.7544
-0.4765,-5.8429,0.7544,0.7544
-0.4765,-5.9388,0.7544,0.7544
-0.4765,-6.0346,0.7544,0.7544
-0.4765,-6.1305,0.7544,0.7544
-0.4765,-6.2263,0.7544,0.7544
-0.4765,-6.3222,0.7544,0.7544
-0.4765,-6.4180,0.7544,0.7544
-0.4765,-6.5139,0.7544,0.7544
-0.4765,-6.6097,0.7544,0.7544
-0.4765,-6.7056,0.7544,0.7544
-0.4765,-6.8014,0.7544,0.7544
-0.4765,-6.8973,0.7544,0.7544
-0.4765,-6.9931,0.7544,0.7544
-0.4765,-7.0890,0.7544,0.7544
-0.4765,-7.1848,0.7544,0.7544
-0.4765,-7.2807,0.7544,0.7544
-0.4765,-7.3765,0.7544,0.7544
-0.4765,-7.4724,0.7544,0.7544
-0.4765,-7.5682,0.7544,0.7544
-0.4765,-7.6641,0.7544,0.7544
-0.4765,-7.7599,0.7544,0.7544
-0.4765,-7.8558,0.7544,0.7544
-0.4765,-7.9516,0.7544,0.7544
-0.4765,-8.0475,0.7544,0.7544
-0.4765,-8.1433,0.7544,0.7544
-0.4765,-8.2392,0.7544,0.7544
-0.4765,-8.3350,0.7544,0.7544
-0.4765,-8.4309,0.7544,0.7544
-0.4765,-8.5267,0.7544,0.7544
-0.4765,-8.6226,0.7544,0.7544
-0.4765,-8.7184,0.7544,0.7544
-0.4765,-8.8143,0.7544,0.7544
-0.4765,-8.9101,0.7544,0.7544
-0.4765,-9.0060,0.7544,0.7544
-0.4765,-9.1018,0.7544,0.7544
-0.4765,-9.1977,0.7544,0.7544
-0.4765,-9.2935,0.7544,0.7544
-0.4765,-9.3894,0.7544,0.7544
-0.4765,-9.4852,0.7544,0.7544
-0.4765,-9.5811,0.7544,0.7544
-0.4765,-9.6769,0.7544,0.7544
-0.4765,-9.7728,0.7544,0.7544
-0.4765,-9.8686,0.7544,0.7544
-0.4765,-9.9645,0.7544,0.7544
-0.4765,-10.0603,0.7544,0.7544
-0.4765,-10.1562,0.7544,0.7544
-0.4765,-10.2520,0.7544,0.7544
-0.4765,-10.3479,0.7544,0.7544
-0.4765,-10.4437,0.7544,0.7544
-0.4765,-10.5396,0.7544,0.7544
-0.4765,-10.6354,0.7544,0.7544
-0.4765,-10.7313,0.7544,0.7544
-0.4765,-10.8271,0.7544,0.7544
-0.4765,-10.9230,0.7544,0.7544
-0.4765,-11.0188,0.7544,0.7544
-0.4765,-11.1147,0.7544,0.7544
-0.4765,-11.2105,0.7544,0.7544
-0.4765,-11.3064,0.7544,0.7544
-0.4765,-11.4022,0.7544,0.7544
-0.4765,-11.4981,0.7544,0.7544
-0.4765,-11.5939,0.7544,0.7544
-0.4765,-11.6898,0.7544,0.7544
-0.4765,-11.7856,0.7544,0.7544
-0.4765,-11.8815,0.7544,0.7544
-0.4765,-11.9773,0.7544,0.7544
-0.4765,-12.0732,0.7544,0.7544
-0.4765,-12.1690,0.7544,0.7544
-0.4765,-12.2649,0.7544,0.7544
-0.4765,-12.3607,0.7544,0.7544
-0.4765,-12.4566,0.7544,0.7544
-0.4765,-12.5524,0.7544,0.7544
-0.4765,-12.6483,0.7544,0.7544
-0.4765,-12.7441,0.7544,0.7544
-0.4765,-12.8400,0.7544,0.7544
-0.4765,-12.9358,0.7544,0.7544
-0.4765,-13.0317,0.7544,0.7544
-0.4765,-13.1275,0.7544,0.7544
-0.4765,-13.2234,0.7544,0.7544
-0.4765,-13.3192,0.7544,0.7544
-0.3807,-13.4151,0.7544,0.7544
-0.3807,-13.5109,0.7544,0.7544
-0.3807,-13.6068,0.7544,0.7544
-0.3807,-13.7026,0.7544,0.7544
-0.3807,-13.7985,0.7544,0.7544
-0.3807,-13.8943,0.7544,0.7544
-0.3807,-13.9902,0.7544,0.7544
-0.3807,-14.0860,0.7544,0.7544
-0.3807,-14.1819,0.7544,0.7544
-0.3807,-14.2777,0.7544,0.7544
-0.3807,-14.3736,0.7544,0.7544
-0.3807,-14.4694,0.7544,0.7544
-0.3807,-14.5653,0.7544,0.7544
-0.3807,-14.6611,0.7544,0.7544
-0.3807,-14.7570,0.7544,0.7544
-0.3807,-14.8528,0.7544,0.7544
-0.3807,-14.9487,0.7544,0.7544
-0.3807,-15.0445,0.7544,0.7544
-0.3807,-15.1404,0.7544,0.7544
-0.3807,-15.2362,0.7544,0.7544
-0.3807,-15.3321,0.7544,0.7544
-0.3807,-15.4279,0.7544,0.7544
-0.3807,-15.5238,0.7544,0.7544
-0.3807,-15.6196,0.7544,0.7544
-0.3807,-15.7155,0.7544,0.7544
-0.3807,-15.8113,0.7544,0.7544
-0.3807,-15.9072,0.7544,0.7544
-0.3807,-16.0030,0.7544,0.7544
-0.3807,-16.0989,0.7544,0.7544
-0.3807,-16.1947,0.7544,0.7544
-0.3807,-16.2906,0.7544,0.7544
-0.3807,-16.3864,0.7544,0.7544
-0.3807,-16.4823,0.7544,0.7544
-0.3807,-16.5781,0.7544,0.7544
-0.3807,-16.6740,0.7544,0.7544
-0.3807,-16.7698,0.7544,0.7544
-0.3807,-16.8657,0.7544,0.7544
-0.3807,-16.9615,0.7544,0.7544
-0.3807,-17.0574,0.7544,0.7544
-0.3807,-17.1532,0.7544,0.7544
-0.3807,-17.2491,0.7544,0.7544
-0.3807,-17.3449,0.7544,0.7544
-0.3807,-17.4408,0.7544,0.7544
-0.3807,-17.5366,0.7544,0.7544
-0.3807,-17.6325,0.7544,0.7544
-0.3807,-17.7283,0.7544,0.7544
-0.3807,-17.8242,0.7544,0.7544
-0.3807,-17.9200,0.7544,0.7544
-0.3807,-18.0159,0.7544,0.7544
-0.3807,-18.1117,0.7544,0.7544
-0.3807,-18.2076,0.7544,0.7544
-0.3807,-18.3034,0.7544,0.7544
-0.3807,-18.3993,0.7544,0.7544
-0.3807,-18.4951,0.7544,0.7544
-0.3807,-18.5910,0.7544,0.7544
-0.3807,-18.6868,0.7544,0.7544
-0.3807,-18.7827,0.7544,0.7544
-0.3807,-18.8785,0.7544,0.7544
-0.3807,-18.9744,0.7544,0.7544
-0.3807,-19.0702,0.7544,0.7544
-0.3807,-19.1661,0.7544,0.7544
-0.3807,-19.2619,0.7544,0.7544
-0.3807,-19.3578,0.7544,0.7544
-0.3807,-19.4536,0.7544,0.7544
-0.3807,-19.5495,0.7544,0.7544
-0.3807,-19.6453,0.7544,0.7544
-0.3807,-19.7412,0.7544,0.7544
-0.3807,-19.8370,0.7544,0.7544
-0.3807,-19.9329,0.7544,0.7544
-0.3807,-20.0287,0.7544,0.7544
-0.3807,-20.1246,0.7544,0.7544
-0.3807,-20.2204,0.7544,0.7544
-0.3807,-20.3163,0.7544,0.7544
-0.3807,-20.4121,0.7544,0.7544
