# x_m,y_m,w_tr_right_m,w_tr_left_m
8.9935,-8.8208,2.3749,2.3749
8.9935,-8.7708,2.3602,2.3602
9.0435,-8.7208,2.3703,2.3703
9.0935,-8.6708,2.3824,2.3824
9.1435,-8.6208,2.3910,2.3910
9.1435,-8.5708,2.3602,2.3602
9.1935,-8.5208,2.3703,2.3703
9.2435,-8.4708,2.3824,2.3824
9.2435,-8.4208,2.3546,2.3546
9.2435,-8.3708,2.3274,2.3274
9.2935,-8.3208,2.3439,2.3439
9.2935,-8.2708,2.3187,2.3187
9.2935,-8.2208,2.2943,2.2943
9.3435,-8.1708,2.3151,2.3151
9.3435,-8.1208,2.2927,2.2927
9.3935,-8.0708,2.3151,2.3151
9.3935,-8.0208,2.2927,2.2927
9.3935,-7.9708,2.2707,2.2707
9.4435,-7.9208,2.2927,2.2927
9.4435,-7.8708,2.2712,2.2712
9.4435,-7.8208,2.2505,2.2505
9.4935,-7.7708,2.2770,2.2770
9.4935,-7.7208,2.2585,2.2585
9.5435,-7.6708,2.2880,2.2880
9.5435,-7.6208,2.2717,2.2717
9.5435,-7.5708,2.2564,2.2564
9.5935,-7.5208,2.2880,2.2880
9.5935,-7.4708,2.2717,2.2717
9.5935,-7.4208,2.2564,2.2564
9.5935,-7.3708,2.2420,2.2420
9.6435,-7.3208,2.2770,2.2770
9.6435,-7.2708,2.2648,2.2648
9.6435,-7.2208,2.2537,2.2537
9.6435,-7.1708,2.2436,2.2436
9.6435,-7.1208,2.2345,2.2345
9.6435,-7.0708,2.2265,2.2265
9.6435,-7.0208,2.2195,2.2195
9.5935,-6.9708,2.1638,2.1638
9.5935,-6.9208,2.1589,2.1589
9.5935,-6.8708,2.1550,2.1550
9.5935,-6.8208,2.1522,2.1522
9.5935,-6.7708,2.1506,2.1506
9.5935,-6.7208,2.1500,2.1500
9.5435,-6.6708,2.1000,2.1000
9.5435,-6.6208,2.1000,2.1000
9.5435,-6.5708,2.1000,2.1000
9.5435,-6.5208,2.1000,2.1000
9.4935,-6.4708,2.0500,2.0500
9.4935,-6.4208,2.0500,2.0500
9.4935,-6.3708,2.0500,2.0500
9.4935,-6.3208,2.0500,2.0500
9.4935,-6.2708,2.0500,2.0500
9.4435,-6.2208,2.0000,2.0000
9.4435,-6.1708,2.0000,2.0000
9.4435,-6.1208,2.0006,2.0006
9.4435,-6.0708,2.0024,2.0024
9.4435,-6.0208,2.0054,2.0054
9.3935,-5.9708,1.9597,1.9597
9.3935,-5.9208,1.9652,1.9652
9.3935,-5.8708,1.9718,1.9718
9.3935,-5.8208,1.9797,1.9797
9.3435,-5.7708,1.9396,1.9396
9.3435,-5.7208,1.9500,1.9500
9.3435,-5.6708,1.9616,1.9616
9.3435,-5.6208,1.9742,1.9742
9.2935,-5.5708,1.9402,1.9402
9.2935,-5.5208,1.9555,1.9555
9.2935,-5.4708,1.9718,1.9718
9.2935,-5.4208,1.9881,1.9881
9.2435,-5.3708,1.9555,1.9555
9.2435,-5.3208,1.9718,1.9718
9.2435,-5.2708,1.9893,1.9893
9.2435,-5.2208,2.0077,2.0077
9.1935,-5.1708,1.9815,1.9815
9.1935,-5.1208,2.0024,2.0024
9.1935,-5.0708,2.0243,2.0243
9.1935,-5.0208,2.0471,2.0471
9.1435,-4.9708,2.0243,2.0243
9.1435,-4.9208,2.0471,2.0471
9.1435,-4.8708,2.0691,2.0691
9.1435,-4.8208,2.0915,2.0915
9.0935,-4.7708,2.0691,2.0691
9.0935,-4.7208,2.0915,2.0915
9.0935,-4.6708,2.1147,2.1147
9.0435,-4.6208,2.0954,2.0954
9.0435,-4.5708,2.1209,2.1209
8.9935,-4.5208,2.1051,2.1051
8.9935,-4.4708,2.1327,2.1327
8.9435,-4.4208,2.1204,2.1204
8.9435,-4.3708,2.1500,2.1500
8.8935,-4.3208,2.1411,2.1411
8.8435,-4.2708,2.1344,2.1344
8.8435,-4.2208,2.1500,2.1500
8.7935,-4.1708,2.1611,2.1611
8.7435,-4.1208,2.1500,2.1500
8.6935,-4.0708,2.1411,2.1411
8.6435,-4.0208,2.1327,2.1327
8.6435,-3.9708,2.1500,2.1500
8.5935,-3.9208,2.1500,2.1500
8.5435,-3.8708,2.1411,2.1411
8.4935,-3.8208,2.1344,2.1344
8.4935,-3.7708,2.1411,2.1411
8.4435,-3.7208,2.1500,2.1500
8.3935,-3.6708,2.1500,2.1500
8.3435,-3.6208,2.1411,2.1411
8.2935,-3.5708,2.1344,2.1344
8.2435,-3.5208,2.1299,2.1299
8.2435,-3.4708,2.1299,2.1299
8.1935,-3.4208,2.1344,2.1344
8.1435,-3.3708,2.1411,2.1411
8.0935,-3.3208,2.1500,2.1500
8.0435,-3.2708,2.1611,2.1611
7.9935,-3.2208,2.1500,2.1500
7.9435,-3.1708,2.1411,2.1411
7.8935,-3.1208,2.1344,2.1344
7.8435,-3.0708,2.1299,2.1299
7.8435,-3.0208,2.1277,2.1277
7.7935,-2.9708,2.1277,2.1277
7.7435,-2.9208,2.1277,2.1277
7.6935,-2.8708,2.1277,2.1277
7.6435,-2.8208,2.1277,2.1277
7.5935,-2.7708,2.1277,2.1277
7.5435,-2.7208,2.1277,2.1277
7.4935,-2.6708,2.1277,2.1277
7.4435,-2.6208,2.1277,2.1277
7.3935,-2.5708,2.1277,2.1277
7.3435,-2.5208,2.1277,2.1277
